"CODE,N,6,0","NAME,C,29","T_POPULAT°,N,12,0","DENSITY,N,10,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,12,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,8,0","T%_SC,N,8,2","M_SC,N,7,0","F_SC,N,7,0","SR_SC,N,8,0","T_ST,N,7,0","T%_ST,N,8,2","M_ST,N,7,0","F_ST,N,6,0","SR_ST,N,8,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,13,0","T%_WORKERS,N,14,2","M_WORKERS,N,14,0","F_WORKERS,N,14,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,14,0","T%_NONWORK,N,14,2","M_NONWORK,N,14,0","F_NONWORK,N,14,0","SR_NONWORK,N,14,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,13,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,13,0","T_SECUND,N,11,0","T%_SECUND,N,13,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,13,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,10,0","T%_MINING,N,12,2","M_MINING,N,11,0","F_MINING,N,10,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,10,0","T%_TRADE,N,12,2","M_TRADE,N,10,0","F_TRADE,N,10,0","SR_TRADE,N,11,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
3,North Arcot Ambedkar,3026432,499,592382,5.1,1529944,1496488,1022,443573,226125,217448,1040,627318,20.73,315119,312199,1009,49857,1.65,25384,24473,1037,1572292,60.87,950943,621349,1530,1148042,37.93,827726,320316,2584,75201,2.48,5124,70077,73,1803189,59.58,697094,1106095,630,654246,56.99,415454,238792,1740,234962,20.47,189749,45213,4197,258834,22.55,222523,36311,6128,268734,8.88,210640,58094,3626,378770,12.52,199411,179359,1112,6742,0.22,5403,1339,4035,2269,0.07,1749,520,3363,80071,2.65,55297,24774,2232,125220,4.14,107341,17879,6004,27402,2.39,25362,2040,12432,93241,8.12,87420,5821,15018,37543,3.27,36889,654,56405,128050,11.15,98214,29836,3292
5,Tiruvannamalai Sambuvarayar,2042979,338,423773,4.8,1030052,1012927,1017,314060,159941,154119,1038,438390,21.46,221469,216921,1021,62067,3.04,31791,30276,1050,917548,53.07,580423,337125,1722,882434,43.19,565898,316536,1788,49998,2.45,3681,46317,79,1110547,54.36,460473,650074,708,708427,80.28,420982,287445,1465,70890,8.03,58933,11957,4929,103117,11.69,85983,17134,5018,343981,16.84,259384,84597,3066,357117,17.48,155924,201193,775,7329,0.36,5674,1655,3428,1098,0.05,818,280,2921,34054,1.67,26425,7629,3464,26755,1.31,23934,2821,8484,8983,1.02,7756,1227,6321,36261,4.11,33564,2697,12445,11037,1.25,10867,170,63924,55819,6.33,41552,14267,2912
18,Ramanathapuram,1150829,324,243643,4.7,572120,578709,989,170567,87008,83559,1041,209164,18.18,104965,104199,1007,1570,0.14,828,742,1116,603604,61.58,362613,240991,1505,456547,39.67,312938,143609,2179,66100,5.74,2434,63666,38,628182,54.59,256748,371434,691,338297,74.1,214878,123419,1741,33310,7.3,24813,8497,2920,84940,18.6,73247,11693,6264,220570,19.17,150493,70077,2148,98083,8.52,45246,52837,856,19644,1.71,19139,505,37899,39,0,39,0,0,12543,1.09,6376,6167,1034,15752,1.37,13748,2004,6860,4976,1.09,4650,326,14264,38563,8.45,36293,2270,15988,7264,1.59,7163,101,70921,39113,8.57,29791,9322,3196
15,Pasumpon Muthuramalinga Theva,1079657,273,242029,4.5,531210,548447,969,140272,71650,68622,1044,172882,16.01,85182,87700,971,1198,0.11,608,590,1031,592121,63.03,353497,238624,1481,424445,39.31,288230,136215,2116,73571,6.81,3068,70503,44,581641,53.87,239912,341729,702,311638,73.42,194116,117522,1652,35898,8.46,30961,4937,6271,76909,18.12,63153,13756,4591,186190,17.25,130593,55597,2349,123098,11.4,61718,61380,1006,2350,0.22,1805,545,3312,208,0.02,162,46,3522,4140,0.38,2608,1532,1702,24444,2.26,21889,2555,8567,7106,1.67,6302,804,7838,29679,6.99,27272,2407,11330,8542,2.01,8330,212,39292,38688,9.11,27551,11137,2474
17,Kamarajar,1565037,364,374136,4.2,784912,780125,1006,216882,111450,105432,1057,288901,18.46,145292,143609,1012,2978,0.19,1460,1518,962,848127,62.91,509637,338490,1506,749912,47.92,452608,297304,1522,33829,2.16,2085,31744,66,781296,49.92,330219,451077,732,395313,52.71,210645,184668,1141,218536,29.14,127076,91460,1389,136063,18.14,114887,21176,5425,145118,9.27,92475,52643,1757,245133,15.66,113915,131218,868,5062,0.32,4255,807,5273,1151,0.07,944,207,4560,28154,1.8,11905,16249,733,175548,11.22,101350,74198,1366,13683,1.82,12877,806,15976,63299,8.44,59094,4205,14053,15002,2,14597,405,36042,57762,7.7,41196,16566,2487
21,Kanniyakumari,1611976,945,326926,4.9,809644,802332,1009,201965,102542,99423,1031,77128,4.78,38473,38655,995,5280,0.33,2652,2628,1009,1157082,82.06,606062,551020,1100,467273,28.99,397838,69435,5730,23730,1.47,5277,18453,286,1120973,69.54,406529,714444,569,275379,58.93,252097,23282,10828,71752,15.36,49762,21990,2263,120142,25.71,95979,24163,3972,61970,3.84,58352,3618,16128,179398,11.13,161216,18182,8867,34011,2.11,32529,1482,21949,930,0.06,831,99,8394,13560,0.84,5271,8289,636,36948,2.29,23463,13485,1740,20314,4.35,20197,117,172624,38697,8.28,35086,3611,9716,16455,3.52,16007,448,35730,64990,13.91,44886,20104,2233
9,Nilgiri,710214,397,156733,4.5,358129,352085,1017,83405,42382,41023,1033,214598,30.22,107531,107067,1004,25048,3.53,12711,12337,1030,449447,71.7,258247,191200,1351,281048,39.57,182362,98686,1848,7821,1.1,1751,6070,288,421345,59.33,174016,247329,704,186545,66.37,104969,81576,1287,25940,9.23,21717,4223,5143,68563,24.4,55676,12887,4320,10922,1.54,8675,2247,3861,24992,3.52,14745,10247,1439,150631,21.21,81549,69082,1180,466,0.07,335,131,2557,547,0.08,413,134,3082,17551,2.47,15226,2325,6549,7376,2.62,5743,1633,3517,16785,5.97,15520,1265,12269,6949,2.47,6774,175,38709,44829,15.95,33382,11447,2916
19,Chidambaranar,1455920,344,331734,4.4,709760,746160,951,194718,99165,95553,1038,250071,17.18,124100,125971,985,3174,0.22,1567,1607,975,920887,73.02,500796,420091,1192,576878,39.62,379331,197547,1920,28706,1.97,2026,26680,76,850336,58.41,328403,521933,629,319011,55.3,189966,129045,1472,115592,20.04,70238,45354,1549,142275,24.66,119127,23148,5146,108824,7.47,75267,33557,2243,192836,13.24,98385,94451,1042,17351,1.19,16314,1037,15732,1310,0.09,818,492,1663,21321,1.46,6288,15033,418,80041,5.5,51238,28803,1779,12920,2.24,11894,1026,11593,60215,10.44,56663,3552,15952,22070,3.83,21261,809,26281,59990,10.4,41203,18787,2193
20,Tirunelveli Kattabomman,2501832,384,573747,4.4,1229902,1271930,967,336915,172369,164546,1048,447654,17.89,218607,229047,954,8975,0.36,4445,4530,981,1419761,65.58,819183,600578,1364,1106043,44.21,662935,443108,1496,74326,2.97,5896,68430,86,1321463,52.82,561071,760392,738,617617,55.84,379348,238269,1592,277174,25.06,106159,171015,621,211252,19.1,177428,33824,5246,251257,10.04,181371,69886,2595,349069,13.95,184055,165014,1115,17291,0.69,13922,3369,4132,2450,0.1,2149,301,7140,167749,6.71,22847,144902,158,92669,3.7,67457,25212,2676,14306,1.29,13706,600,22843,90132,8.15,85244,4888,17439,21864,1.98,21382,482,44361,99256,8.97,70802,28454,2488
221,Pondicherry,608338,2676,110560,5.5,309701,298637,1037,82426,42030,40396,1040,101298,16.65,51061,50237,1016,0,0,0,0,0,385742,73.35,221498,164244,1349,202565,33.3,156385,46180,3386,3778,0.62,1365,2413,566,401995,66.08,151951,250044,608,75529,37.29,50760,24769,2049,44671,22.05,39560,5111,7740,82365,40.66,66065,16300,4053,13845,2.28,11913,1932,6166,57764,9.5,35057,22707,1544,3920,0.64,3790,130,29154,61,0.01,59,2,29500,1754,0.29,1211,543,2230,33682,5.54,30158,3524,8558,9174,4.53,8132,1042,7804,27954,13.8,23925,4029,5938,6782,3.35,6743,39,172897,47629,23.51,35397,12232,2894
222,Karaikal,145703,1165,28230,5.2,72557,73146,992,20345,10340,10005,1033,25817,17.72,13012,12805,1016,0,0,0,0,0,94997,75.78,52915,42082,1257,45453,31.2,36946,8507,4343,1183,0.81,169,1014,167,99067,67.99,35442,63625,557,23086,50.79,17685,5401,3274,5173,11.38,4900,273,17949,17194,37.83,14361,2833,5069,3678,2.52,3456,222,15568,17286,11.86,12130,5156,2353,2122,1.46,2099,23,91261,270,0.19,269,1,269000,154,0.11,98,56,1750,3364,2.31,3237,127,25488,1385,3.05,1296,89,14562,7449,16.39,6622,827,8007,1053,2.32,1048,5,209600,8692,19.12,6691,2001,3344
1,Madras,5421985,885786,1130455,4.8,2805566,2616419,1072,678193,345699,332494,1040,779334,14.37,399034,380300,1049,15720,0.29,8056,7664,1051,3867554,81.53,2166861,1700693,1274,1649377,30.42,1428158,221219,6456,4741,0.09,2303,2438,945,3767867,69.49,1375105,2392762,575,48495,2.94,40585,7910,5131,555733,33.69,500439,55294,9051,1045149,63.37,887134,158015,5614,9264,0.17,8381,883,9492,23259,0.43,16574,6685,2479,15972,0.29,15630,342,45702,1961,0.04,1793,168,10673,18332,0.34,11959,6373,1877,427123,7.88,386603,40520,9541,108317,6.57,100084,8233,12156,378950,22.98,345215,33735,10233,168912,10.24,159831,9081,17601,497287,30.15,382088,115199,3317
2,Chengalpattu MGR,3065690,443,645326,4.8,1551695,1513995,1025,453400,229743,223657,1027,955622,31.17,482749,472873,1021,49997,1.63,25309,24688,1025,1529867,58.56,936900,592967,1580,1211442,39.52,853323,358119,2383,75671,2.47,5764,69907,82,1778577,58.02,692608,1085969,638,826779,68.25,527588,299191,1763,171353,14.14,147766,23587,6265,213310,17.61,177969,35341,5036,264602,8.63,210993,53609,3936,544752,17.77,301000,243752,1235,17425,0.57,15595,1830,8522,3444,0.11,2311,1133,2040,54281,1.77,42565,11716,3633,92073,3,82835,9238,8967,21555,1.78,20055,1500,13370,72238,5.96,64634,7604,8500,32129,2.65,31261,868,36015,108943,8.99,82074,26869,3055
