STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,6,1281700,0,0,VILLAGE,Kulamangalam South,Rural,535,2458,1215,1243,236,103,133,320,170,150,0,0,0,1810,1056,754,648,159,489,1479,836,643,1054,703,351,468,364,104,411,213,198,20,10,10,155,116,39,425,133,292,56,0,56,356,127,229,1,0,1,12,6,6,979,379,600
33,22,6,1281800,0,0,VILLAGE,Kulamangalam North,Rural,702,3215,1617,1598,346,189,157,522,259,263,0,0,0,2367,1343,1024,848,274,574,1309,892,417,848,774,74,692,649,43,56,42,14,2,1,1,98,82,16,461,118,343,208,6,202,247,107,140,0,0,0,6,5,1,1906,725,1181
33,22,6,1281900,0,0,VILLAGE,Kothamangalam South,Rural,996,4444,2245,2199,462,245,217,217,112,105,0,0,0,3260,1865,1395,1184,380,804,2268,1312,956,1735,1130,605,798,525,273,439,205,234,15,9,6,483,391,92,533,182,351,179,64,115,256,73,183,24,1,23,74,44,30,2176,933,1243
33,22,6,1282000,0,0,VILLAGE,Sendankudi,Rural,449,1995,1007,988,223,111,112,392,194,198,0,0,0,1541,863,678,454,144,310,954,576,378,896,540,356,481,316,165,297,139,158,3,0,3,115,85,30,58,36,22,15,10,5,39,23,16,0,0,0,4,3,1,1041,431,610
33,22,6,1282100,0,0,VILLAGE,Nagaram,Rural,273,1134,547,587,125,70,55,238,116,122,0,0,0,819,427,392,315,120,195,457,317,140,350,269,81,75,67,8,134,81,53,6,4,2,135,117,18,107,48,59,15,7,8,70,29,41,8,4,4,14,8,6,677,230,447
33,22,6,1282200,0,0,VILLAGE,Mangadu,Rural,892,4048,2055,1993,471,229,242,342,182,160,0,0,0,2970,1716,1254,1078,339,739,1805,1217,588,1521,1105,416,1074,805,269,296,172,124,5,4,1,146,124,22,284,112,172,35,27,8,231,75,156,5,4,1,13,6,7,2243,838,1405
33,22,6,1282300,0,0,VILLAGE,Kothamangalam North,Rural,943,4452,2293,2159,510,277,233,140,70,70,0,0,0,2955,1775,1180,1497,518,979,2658,1388,1270,1846,1218,628,1151,763,388,295,141,154,50,26,24,350,288,62,812,170,642,251,62,189,463,69,394,49,11,38,49,28,21,1794,905,889
33,22,6,1282400,0,0,VILLAGE,Alangadu,Rural,212,1015,545,470,102,62,40,86,46,40,0,0,0,704,437,267,311,108,203,508,351,157,423,309,114,389,285,104,15,8,7,1,0,1,18,16,2,85,42,43,2,0,2,83,42,41,0,0,0,0,0,0,507,194,313
33,22,6,1282500,0,0,VILLAGE,Suranviduthy,Rural,109,499,246,253,60,31,29,0,0,0,0,0,0,295,172,123,204,74,130,328,163,165,272,142,130,137,65,72,118,62,56,3,2,1,14,13,1,56,21,35,12,5,7,43,16,27,1,0,1,0,0,0,171,83,88
33,22,6,1282600,0,0,VILLAGE,Kallalangudy,Rural,964,4864,2502,2362,539,254,285,722,415,307,0,0,0,3706,2126,1580,1158,376,782,1569,1348,221,1383,1188,195,120,100,20,157,127,30,12,8,4,1094,953,141,186,160,26,7,4,3,17,11,6,8,3,5,154,142,12,3295,1154,2141
