STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,8,1302500,0,0,VILLAGE,Ko-Palangulam ,Rural,399,1978,997,981,219,111,108,281,150,131,0,0,0,1237,686,551,741,311,430,837,576,261,659,549,110,517,452,65,69,36,33,3,3,0,70,58,12,178,27,151,54,5,49,77,6,71,2,1,1,45,15,30,1141,421,720
33,22,8,1302600,0,0,VILLAGE,Kolendram,Rural,100,509,253,256,56,25,31,4,2,2,0,0,0,310,180,130,199,73,126,203,161,42,192,160,32,178,149,29,5,3,2,6,6,0,3,2,1,11,1,10,8,0,8,2,0,2,0,0,0,1,1,0,306,92,214
33,22,8,1302700,0,0,VILLAGE,Kannakkur,Rural,228,1002,448,554,144,73,71,188,82,106,0,0,0,609,313,296,393,135,258,461,246,215,384,215,169,284,149,135,77,46,31,1,1,0,22,19,3,77,31,46,59,27,32,17,4,13,1,0,1,0,0,0,541,202,339
33,22,8,1302800,0,0,VILLAGE,Kanadu ,Rural,144,620,305,315,80,48,32,208,97,111,0,0,0,374,218,156,246,87,159,336,185,151,214,176,38,173,150,23,17,8,9,0,0,0,24,18,6,122,9,113,2,0,2,103,3,100,0,0,0,17,6,11,284,120,164
33,22,8,1302900,0,0,VILLAGE,Kavanur,Rural,25,110,53,57,11,6,5,0,0,0,0,0,0,53,33,20,57,20,37,49,34,15,32,30,2,15,14,1,11,10,1,0,0,0,6,6,0,17,4,13,5,0,5,11,3,8,0,0,0,1,1,0,61,19,42
33,22,8,1303000,0,0,VILLAGE,Vettivayal,Rural,27,127,70,57,19,13,6,14,9,5,0,0,0,54,32,22,73,38,35,33,28,5,32,28,4,0,0,0,24,22,2,0,0,0,8,6,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,94,42,52
33,22,8,1303100,0,0,VILLAGE,Manjakkudi ,Rural,263,1255,640,615,165,81,84,258,136,122,0,0,0,762,458,304,493,182,311,589,365,224,537,341,196,325,209,116,142,76,66,3,2,1,67,54,13,52,24,28,32,12,20,16,8,8,4,4,0,0,0,0,666,275,391
33,22,8,1303200,0,0,VILLAGE,Kodikulam,Rural,2521,12730,6520,6210,1917,977,940,1219,620,599,11,5,6,8843,4886,3957,3887,1634,2253,4006,3665,341,3758,3511,247,67,52,15,128,120,8,64,47,17,3499,3292,207,248,154,94,86,65,21,100,45,55,4,1,3,58,43,15,8724,2855,5869
33,22,8,1303300,0,0,VILLAGE,Kilamanjakkudi,Rural,626,2939,1456,1483,441,243,198,48,23,25,0,0,0,1991,1081,910,948,375,573,962,858,104,788,760,28,87,85,2,174,161,13,2,1,1,525,513,12,174,98,76,7,7,0,77,43,34,42,2,40,48,46,2,1977,598,1379
33,22,8,1303400,0,0,VILLAGE,Periyamadaippaychchal ,Rural,946,4719,2509,2210,823,428,395,397,195,202,0,0,0,2719,1678,1041,2000,831,1169,1811,1462,349,1626,1391,235,298,195,103,51,27,24,14,3,11,1263,1166,97,185,71,114,2,0,2,170,64,106,3,1,2,10,6,4,2908,1047,1861
33,22,8,1303500,0,0,VILLAGE,Kilaravayal   ,Rural,123,599,299,300,88,55,33,18,10,8,0,0,0,311,177,134,288,122,166,388,194,194,153,143,10,131,127,4,7,6,1,1,1,0,14,9,5,235,51,184,2,0,2,219,47,172,9,1,8,5,3,2,211,105,106
33,22,8,1303600,0,0,VILLAGE,Palayavettivayal ,Rural,39,200,103,97,27,14,13,40,17,23,0,0,0,114,71,43,86,32,54,106,58,48,56,55,1,47,47,0,0,0,0,0,0,0,9,8,1,50,3,47,1,1,0,49,2,47,0,0,0,0,0,0,94,45,49
33,22,8,1303700,0,0,VILLAGE,Seyyanam  ,Rural,333,1632,854,778,247,116,131,174,103,71,0,0,0,1064,652,412,568,202,366,653,480,173,347,282,65,56,54,2,158,108,50,4,4,0,129,116,13,306,198,108,139,132,7,116,22,94,1,1,0,50,43,7,979,374,605
