STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,1,1238700,0,0,VILLAGE,Akkalayakkanpatti,Rural,187,864,425,439,108,58,50,265,123,142,0,0,0,498,288,210,366,137,229,557,269,288,554,269,285,208,107,101,221,87,134,17,1,16,108,74,34,3,0,3,1,0,1,0,0,0,2,0,2,0,0,0,307,156,151
33,22,1,1238800,0,0,VILLAGE,Mullaiyur,Rural,178,851,425,426,142,73,69,59,29,30,0,0,0,372,232,140,479,193,286,502,242,260,500,240,260,80,59,21,259,120,139,5,4,1,156,57,99,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,349,183,166
33,22,1,1238900,0,0,VILLAGE,Tirunallur,Rural,426,1969,972,997,293,146,147,1023,520,503,0,0,0,1123,680,443,846,292,554,1148,571,577,1005,529,476,765,405,360,79,17,62,19,10,9,142,97,45,143,42,101,49,11,38,56,20,36,2,1,1,36,10,26,821,401,420
33,22,1,1239000,0,0,VILLAGE,Velur,Rural,597,2841,1389,1452,398,194,204,1189,563,626,0,0,0,1502,891,611,1339,498,841,1421,834,587,1394,827,567,408,306,102,518,190,328,78,43,35,390,288,102,27,7,20,7,2,5,16,3,13,0,0,0,4,2,2,1420,555,865
33,22,1,1239100,0,0,VILLAGE,Vadugappatti,Rural,192,889,453,436,113,55,58,276,136,140,0,0,0,522,296,226,367,157,210,510,295,215,510,295,215,161,91,70,266,137,129,0,0,0,83,67,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,158,221
33,22,1,1239200,0,0,VILLAGE,Viralimalai,Rural,1694,7184,3542,3642,962,462,500,1140,548,592,16,8,8,5235,2813,2422,1949,729,1220,2638,1996,642,2445,1891,554,157,124,33,453,271,182,19,11,8,1816,1485,331,193,105,88,13,7,6,20,7,13,9,1,8,151,90,61,4546,1546,3000
33,22,1,1239300,0,0,VILLAGE,Meppudakkudi,Rural,543,2782,1395,1387,444,235,209,313,163,150,0,0,0,1337,759,578,1445,636,809,1709,845,864,1314,669,645,504,330,174,460,137,323,120,60,60,230,142,88,395,176,219,10,5,5,155,71,84,72,17,55,158,83,75,1073,550,523
33,22,1,1239400,0,0,VILLAGE,Vanadirayanpatti,Rural,803,4099,2071,2028,616,340,276,513,264,249,0,0,0,1990,1225,765,2109,846,1263,2478,1237,1241,2465,1227,1238,1223,602,621,714,288,426,170,74,96,358,263,95,13,10,3,0,0,0,6,4,2,0,0,0,7,6,1,1621,834,787
33,22,1,1239500,0,0,VILLAGE,Nambanpatti,Rural,813,3988,1977,2011,603,292,311,673,333,340,0,0,0,2015,1241,774,1973,736,1237,2198,1169,1029,1956,1100,856,1019,598,421,413,150,263,140,66,74,384,286,98,242,69,173,46,8,38,159,45,114,14,1,13,23,15,8,1790,808,982
33,22,1,1239600,0,0,VILLAGE,Rasalipatti,Rural,808,3905,1949,1956,495,278,217,574,284,290,0,0,0,1975,1189,786,1930,760,1170,2299,1202,1097,1656,976,680,421,253,168,637,328,309,105,52,53,493,343,150,643,226,417,57,15,42,543,196,347,2,1,1,41,14,27,1606,747,859
33,22,1,1239700,0,0,VILLAGE,Virudapatti,Rural,477,2418,1216,1202,368,179,189,259,136,123,0,0,0,1455,896,559,963,320,643,1471,731,740,1459,723,736,545,420,125,671,154,517,107,58,49,136,91,45,12,8,4,1,1,0,7,3,4,1,1,0,3,3,0,947,485,462
33,22,1,1239800,0,0,VILLAGE,Poyyamani,Rural,496,2481,1230,1251,330,153,177,697,338,359,0,0,0,1368,839,529,1113,391,722,1375,736,639,1188,719,469,729,439,290,239,106,133,26,12,14,194,162,32,187,17,170,148,5,143,20,0,20,0,0,0,19,12,7,1106,494,612
33,22,1,1239900,0,0,VILLAGE,Thengaithinnippatti,Rural,571,2903,1432,1471,460,230,230,389,192,197,0,0,0,1552,951,601,1351,481,870,1659,845,814,1625,830,795,960,515,445,384,108,276,75,31,44,206,176,30,34,15,19,6,2,4,13,5,8,6,2,4,9,6,3,1244,587,657
33,22,1,1240000,0,0,VILLAGE,Viralur,Rural,718,3505,1693,1812,539,267,272,760,374,386,0,0,0,1541,956,585,1964,737,1227,1841,966,875,1707,921,786,589,314,275,697,320,377,34,22,12,387,265,122,134,45,89,19,4,15,87,24,63,5,2,3,23,15,8,1664,727,937
33,22,1,1240100,0,0,VILLAGE,Rajagiri,Rural,664,3356,1676,1680,553,296,257,455,229,226,0,0,0,1394,882,512,1962,794,1168,1835,954,881,1331,812,519,708,447,261,245,91,154,34,9,25,344,265,79,504,142,362,38,6,32,444,126,318,5,3,2,17,7,10,1521,722,799
33,22,1,1240200,0,0,VILLAGE,Kattagudi,Rural,416,2250,1074,1176,391,180,211,384,189,195,0,0,0,1072,624,448,1178,450,728,1056,590,466,917,515,402,494,280,214,142,75,67,84,26,58,197,134,63,139,75,64,19,8,11,97,52,45,6,2,4,17,13,4,1194,484,710
